ward_code,ward_name,observation
E05013939,Motspur Park & Old Malden East,4522.7
E05013940,New Malden Village,5724.2
E05013941,Norbiton,8281.1
E05013942,Old Malden,3895.4
E05013943,St Mark's & Seething Wells,6506.3
E05013944,Surbiton Hill,6330.6
E05013945,Tolworth,7841.7
E05013946,Tudor (Kingston upon Thames),6023.6
E05013967,Beam Park,2399.4
E05013968,Cranham,2456.8
E05013969,Elm Park,4037.7
E05013970,Emerson Park,2715.7
E05013971,Gooshays,2283.3
E05013972,Hacton,4713.8
E05013973,Harold Wood,1521.4
E05013974,Havering-atte-Bower,1505.9
E05013975,Heaton (Havering),5321.7
E05013976,Hylands & Harrow Lodge,4658.7
E05013977,Marshalls & Rise Park,3268.9
E05013978,Mawneys,4796.4
E05013979,Rainham & Wennington,815
E05013980,Rush Green & Crowlands,4271.1
E05013981,St Alban's,8019.3
E05013982,St Andrew's (Havering),5082.4
E05013983,St Edward's,5688.2
E05013984,South Hornchurch,3685
E05013985,Squirrels Heath,5199
E05013986,Upminster,592.2
E05013987,Beckenham Town & Copers Cope,5439.6
E05013988,Bickley & Sundridge,2753.2
E05013989,Biggin Hill,1248
E05013990,Bromley Common & Holwood,2689.8
E05013991,Bromley Town,4608.2
E05013992,Chelsfield,1248.1
E05013993,Chislehurst,1552.5
E05013994,Clock House,7117.3
E05013995,Crystal Palace & Anerley,5944.9
E05013996,Darwin,171.5
E05013997,Farnborough & Crofton,3196.5
E05013998,Hayes & Coney Hall,1342.8
E05013999,Kelsey & Eden Park,3111.3
E05014000,Mottingham,3835.5
E05014001,Orpington,3621.3
E05014002,Penge & Cator,6188.9
E05014003,Petts Wood & Knoll,3594.2
E05014004,Plaistow,5973.2
E05014005,Shortlands & Park Langley,3558.7
E05014006,St Mary Cray,2086.7
E05014007,St Paul's Cray,2001.8
E05014008,West Wickham,3957.8
E05014009,Balham,12229.4
E05014010,Battersea Park,10643.3
E05014011,East Putney,10316.5
E05014012,Falconbrook,14022.2
E05014013,Furzedown,11638.8
E05014014,Lavender,17147.2
E05014015,Nine Elms,6673.7
E05014016,Northcote,8993.2
E05014017,Roehampton,4592.6
E05014018,St Mary's (Wandsworth),14760.1
E05014019,Shaftesbury & Queenstown,10625
